Code,Name,Date,Close
AU.SHF,SHFE Gold,2023/2/21,418
AU.SHF,SHFE Gold,2023/2/22,420
AU.SHF,SHFE Gold,2023/2/23,419
AU.SHF,SHFE Gold,2023/2/24,420
AU.SHF,SHFE Gold,2023/2/27,419
AU.SHF,SHFE Gold,2023/2/28,419
AU.SHF,SHFE Gold,2023/3/1,421
AU.SHF,SHFE Gold,2023/3/2,420
AU.SHF,SHFE Gold,2023/3/3,422
AU.SHF,SHFE Gold,2023/3/6,425
AU.SHF,SHFE Gold,2023/3/7,426
AU.SHF,SHFE Gold,2023/3/8,421
AU.SHF,SHFE Gold,2023/3/9,421
AU.SHF,SHFE Gold,2023/3/10,424
AU.SHF,SHFE Gold,2023/3/13,427
AU.SHF,SHFE Gold,2023/3/14,433
AU.SHF,SHFE Gold,2023/3/15,433
AU.SHF,SHFE Gold,2023/3/16,437
AU.SHF,SHFE Gold,2023/3/17,439
AU.SHF,SHFE Gold,2023/3/20,451
AU.SHF,SHFE Gold,2023/3/21,448
AU.SHF,SHFE Gold,2023/3/22,442
AU.SHF,SHFE Gold,2023/3/23,445
AU.SHF,SHFE Gold,2023/3/24,447
AU.SHF,SHFE Gold,2023/3/27,444
AU.SHF,SHFE Gold,2023/3/28,443
AU.SHF,SHFE Gold,2023/3/29,444
AU.SHF,SHFE Gold,2023/3/30,445
AU.SHF,SHFE Gold,2023/3/31,448
AU.SHF,SHFE Gold,2023/4/3,442
AU.SHF,SHFE Gold,2023/4/4,447
AU.SHF,SHFE Gold,2023/4/6,454
AU.SHF,SHFE Gold,2023/4/7,454
AU.SHF,SHFE Gold,2023/4/10,449
AU.SHF,SHFE Gold,2023/4/11,451
AU.SHF,SHFE Gold,2023/4/12,455
AU.SHF,SHFE Gold,2023/4/13,455
AU.SHF,SHFE Gold,2023/4/14,458
AU.SHF,SHFE Gold,2023/4/17,453
AU.SHF,SHFE Gold,2023/4/18,451
AU.SHF,SHFE Gold,2023/4/19,450
AU.SHF,SHFE Gold,2023/4/20,451
AU.SHF,SHFE Gold,2023/4/21,449
AU.SHF,SHFE Gold,2023/4/24,448
AU.SHF,SHFE Gold,2023/4/25,451
AU.SHF,SHFE Gold,2023/4/26,453
AU.SHF,SHFE Gold,2023/4/27,454
AU.SHF,SHFE Gold,2023/4/28,450
AU.SHF,SHFE Gold,2023/5/4,460.66
AU.SHF,SHFE Gold,2023/5/5,463.35
AU.SHF,SHFE Gold,2023/5/8,457.73
AU.SHF,SHFE Gold,2023/5/9,458.56
AU.SHF,SHFE Gold,2023/5/10,460.3
AU.SHF,SHFE Gold,2023/5/11,460.21
AU.SHF,SHFE Gold,2023/5/12,456.86
AU.SHF,SHFE Gold,2023/5/15,458.8
AU.SHF,SHFE Gold,2023/5/16,457.62
AU.SHF,SHFE Gold,2023/5/17,455.58
AU.SHF,SHFE Gold,2023/5/18,454.73
AU.SHF,SHFE Gold,2023/5/19,452.93
AU.SHF,SHFE Gold,2023/5/22,454.87
AU.SHF,SHFE Gold,2023/5/23,452.93
AU.SHF,SHFE Gold,2023/5/24,455.24
AU.SHF,SHFE Gold,2023/5/25,453.31
AU.SHF,SHFE Gold,2023/5/26,450.78
AU.SHF,SHFE Gold,2023/5/29,450.95
AU.SHF,SHFE Gold,2023/5/30,449.89
AU.SHF,SHFE Gold,2023/5/31,456.21
AU.SHF,SHFE Gold,2023/6/1,456.33
AU.SHF,SHFE Gold,2023/6/2,457.67
AU.SHF,SHFE Gold,2023/6/5,452.57
AU.SHF,SHFE Gold,2023/6/6,455.62
AU.SHF,SHFE Gold,2023/6/7,456.45
AU.SHF,SHFE Gold,2023/6/8,453.78
AU.SHF,SHFE Gold,2023/6/9,457.71
AU.SHF,SHFE Gold,2023/6/12,457.87
AU.SHF,SHFE Gold,2023/6/13,459.06
AU.SHF,SHFE Gold,2023/6/14,456.25
AU.SHF,SHFE Gold,2023/6/15,452.44
AU.SHF,SHFE Gold,2023/6/16,455.84
AU.SHF,SHFE Gold,2023/6/19,456.59
AU.SHF,SHFE Gold,2023/6/20,457.12
AU.SHF,SHFE Gold,2023/6/21,455.18
AU.SHF,SHFE Gold,2023/6/26,454.47
AU.SHF,SHFE Gold,2023/6/27,454.18
AU.SHF,SHFE Gold,2023/6/28,452.4
AU.SHF,SHFE Gold,2023/6/29,452.81
AU.SHF,SHFE Gold,2023/6/30,453.92
AU.SHF,SHFE Gold,2023/7/3,454.85
AU.SHF,SHFE Gold,2023/7/4,455.28
AU.SHF,SHFE Gold,2023/7/5,456.05
AU.SHF,SHFE Gold,2023/7/6,455.95
AU.SHF,SHFE Gold,2023/7/7,455.1
AU.SHF,SHFE Gold,2023/7/10,456.37
AU.SHF,SHFE Gold,2023/7/11,456.49
AU.SHF,SHFE Gold,2023/7/12,456.41
AU.SHF,SHFE Gold,2023/7/13,460.65
AU.SHF,SHFE Gold,2023/7/14,458.31
AU.SHF,SHFE Gold,2023/7/17,459.66
AU.SHF,SHFE Gold,2023/7/18,461.28
AU.SHF,SHFE Gold,2023/7/19,466.87
AU.SHF,SHFE Gold,2023/7/20,466.34
AU.SHF,SHFE Gold,2023/7/21,463.66
AU.SHF,SHFE Gold,2023/7/24,463.46
AU.SHF,SHFE Gold,2023/7/25,461.13
AU.SHF,SHFE Gold,2023/7/26,463.03
AU.SHF,SHFE Gold,2023/7/27,464.12
AU.SHF,SHFE Gold,2023/7/28,460.63
AU.SHF,SHFE Gold,2023/7/31,460.31
AU.SHF,SHFE Gold,2023/8/1,461.92
AU.SHF,SHFE Gold,2023/8/2,461.52
AU.SHF,SHFE Gold,2023/8/3,459.36
AU.SHF,SHFE Gold,2023/8/4,458.71
AU.SHF,SHFE Gold,2023/8/7,459.96
AU.SHF,SHFE Gold,2023/8/8,459.96
AU.SHF,SHFE Gold,2023/8/9,459.68
AU.SHF,SHFE Gold,2023/8/10,457.92
AU.SHF,SHFE Gold,2023/8/11,459.88
AU.SHF,SHFE Gold,2023/8/14,460.06
AU.SHF,SHFE Gold,2023/8/15,460.18
AU.SHF,SHFE Gold,2023/8/16,461.44
AU.SHF,SHFE Gold,2023/8/17,461.19
AU.SHF,SHFE Gold,2023/8/18,459.42
